hey_parental	hey_PGCC_1d	hey_PGCC_3d	hey_PGCC_7d	hey_PGCC_14d	hey_PGCC_21d	hey_daughter	probe	chr	pos	genes	CpG_relation	putative_change	hey_parental	hey_PGCC_1d	hey_PGCC_3d	hey_PGCC_7d	hey_PGCC_14d	hey_PGCC_21d	hey_daughter
0.962	0.971	0.958	0.969	0.964	0.959	0.943	cg00448707	1	68512928	DIRAS3	Island	0	0	0.00900000000000001	-0.004	0.00700000000000001	0.002	-0.003	-0.019
0.848	0.855	0.826	0.837	0.805	0.872	0.814	cg00589412	1	68514311	DIRAS3	N_Shore	0	0	0.00700000000000001	-0.022	-0.011	-0.0429999999999999	0.024	-0.034
0.632	0.699	0.682	0.711	0.712	0.698	0.872	cg02317907	1	68515788	DIRAS3	N_Shore	0	0	0.0669999999999999	0.05	0.079	0.08	0.0659999999999999	0.24
0.494	0.524	0.566	0.594	0.563	0.556	0.448	cg03641225	1	68512539	DIRAS3	N_Shore	0	0	0.03	0.072	0.1	0.069	0.0620000000000001	-0.046
0.789	0.824	0.809	0.862	0.866	0.845	0.805	cg04080133	1	68517656	DIRAS3	S_Shore	0	0	0.0349999999999999	0.02	0.073	0.077	0.0559999999999999	0.016
0.667	0.702	0.704	0.692	0.711	0.686	0.841	cg05392265	1	68516453	DIRAS3;DIRAS3	Island	0	0	0.0349999999999999	0.0369999999999999	0.0249999999999999	0.0439999999999999	0.019	0.174
0.778	0.831	0.819	0.795	0.789	0.791	0.88	cg05949203	1	68516279	DIRAS3;DIRAS3	Island	0	0	0.0529999999999999	0.0409999999999999	0.017	0.011	0.013	0.102
0.589	0.649	0.651	0.66	0.635	0.637	0.833	cg06191076	1	68516463	DIRAS3	Island	0	0	0.0600000000000001	0.0620000000000001	0.0710000000000001	0.046	0.048	0.244
0.85	0.868	0.863	0.874	0.839	0.904	0.827	cg06648629	1	68511835	DIRAS3	N_Shore	0	0	0.018	0.013	0.024	-0.011	0.054	-0.023
0.844	0.867	0.874	0.89	0.896	0.899	0.854	cg09118625	1	68512971	DIRAS3	Island	0	0	0.023	0.03	0.046	0.052	0.055	0.01
0.956	0.957	0.954	0.947	0.953	0.96	0.914	cg10038185	1	68517273	DIRAS3	Island	0	0	0.001	-0.002	-0.00900000000000001	-0.003	0.004	-0.0419999999999999
0.649	0.679	0.675	0.73	0.73	0.674	0.851	cg11465163	1	68516093	DIRAS3	N_Shore	0	0	0.03	0.026	0.081	0.081	0.025	0.202
0.434	0.467	0.521	0.526	0.512	0.506	0.798	cg12070746	1	68516080	DIRAS3	N_Shore	0	0	0.033	0.087	0.092	0.078	0.072	0.364
0.561	0.604	0.651	0.682	0.747	0.638	0.859	cg12986021	1	68516627	DIRAS3	N_Shore	1	0	0.0429999999999999	0.09	0.121	0.186	0.077	0.298
0.742	0.801	0.781	0.829	0.702	0.761	0.81	cg13099417	1	68516713	DIRAS3	N_Shore	0	0	0.0590000000000001	0.039	0.087	-0.04	0.019	0.0680000000000001
0.561	0.605	0.63	0.684	0.656	0.661	0.687	cg13208159	1	68516518	DIRAS3	N_Shore	0	0	0.0439999999999999	0.069	0.123	0.095	0.1	0.126
0.758	0.776	0.828	0.733	0.794	0.77	0.746	cg13605615	1	68517255	DIRAS3	Island	0	0	0.018	0.07	-0.025	0.036	0.012	-0.012
0.959	0.962	0.965	0.948	0.961	0.97	0.953	cg13697378	1	68512845	DIRAS3	Island	0	0	0.003	0.00600000000000001	-0.011	0.002	0.011	-0.00600000000000001
0.84	0.876	0.862	0.893	0.889	0.872	0.827	cg16148134	1	68517205	DIRAS3	N_Shore	0	0	0.036	0.022	0.053	0.049	0.032	-0.013
0.703	0.723	0.736	0.72	0.761	0.741	0.865	cg16148270	1	68516465	DIRAS3	Island	0	0	0.02	0.033	0.017	0.0580000000000001	0.038	0.162
0.612	0.62	0.631	0.665	0.664	0.628	0.864	cg16314899	1	68516101	DIRAS3	N_Shore	0	0	0.00800000000000001	0.019	0.053	0.052	0.016	0.252
0.686	0.712	0.705	0.719	0.72	0.703	0.922	cg16682227	1	68516472	DIRAS3	Island	0	0	0.0259999999999999	0.0189999999999999	0.0329999999999999	0.0339999999999999	0.0169999999999999	0.236
0.342	0.363	0.402	0.443	0.403	0.415	0.466	cg17943391	1	68515872	DIRAS3	N_Shore	0	0	0.021	0.06	0.101	0.061	0.073	0.124
0.482	0.501	0.527	0.563	0.538	0.539	0.855	cg19114595	1	68515977	DIRAS3	N_Shore	0	0	0.019	0.045	0.081	0.056	0.0570000000000001	0.373
0.595	0.619	0.635	0.606	0.629	0.637	0.941	cg19694923	1	68516374	DIRAS3;DIRAS3	Island	0	0	0.024	0.04	0.011	0.034	0.042	0.346
0.825	0.82	0.878	0.863	0.843	0.85	0.824	cg20149168	1	68512807	DIRAS3	Island	0	0	-0.005	0.053	0.038	0.018	0.025	-0.001
0.844	0.858	0.878	0.874	0.87	0.877	0.857	cg20808078	1	68515209	DIRAS3	N_Shore	0	0	0.014	0.034	0.03	0.026	0.033	0.013
0.344	0.356	0.408	0.41	0.427	0.382	0.336	cg21808053	1	68513063	DIRAS3	S_Shore	0	0	0.012	0.064	0.066	0.083	0.038	-0.00799999999999995
0.547	0.621	0.604	0.61	0.636	0.625	0.829	cg22500004	1	68516272	DIRAS3;DIRAS3	Island	0	0	0.074	0.0569999999999999	0.0629999999999999	0.089	0.078	0.282
0.868	0.884	0.886	0.88	0.923	0.894	0.873	cg22901840	1	68512777	DIRAS3	Island	0	0	0.016	0.018	0.012	0.055	0.026	0.005
0.859	0.884	0.906	0.881	0.864	0.89	0.848	cg23076194	1	68512251	DIRAS3	N_Shore	0	0	0.025	0.047	0.022	0.005	0.031	-0.011
0.859	0.866	0.886	0.879	0.92	0.874	0.859	cg24871743	1	68512650	DIRAS3	Island	0	0	0.00700000000000001	0.027	0.02	0.0610000000000001	0.015	0
0.404	0.425	0.477	0.521	0.489	0.481	0.813	cg25755905	1	68516138	DIRAS3	N_Shore	0	0	0.021	0.073	0.117	0.085	0.077	0.409
0.81	0.851	0.858	0.838	0.856	0.84	0.827	cg26532638	1	68517691	DIRAS3	S_Shore	0	0	0.0409999999999999	0.0479999999999999	0.0279999999999999	0.0459999999999999	0.0299999999999999	0.0169999999999999
0.972	0.943	0.95	0.93	0.925	0.949	0.916	cg27545611	1	68517177	DIRAS3	N_Shore	0	0	-0.029	-0.022	-0.0419999999999999	-0.0469999999999999	-0.023	-0.0559999999999999
